telecamera1,10.96.251.2
remoto5,10.96.251.3
telecamera3,10.96.251.4
telecamera5,10.96.251.5
remoto1,10.96.251.6
remoto2,10.96.251.7
telecamera2,10.96.251.8
remoto3,10.96.251.9
remoto4,10.96.251.10
remoto10,10.96.251.11
remoto9,10.96.251.12
telecamera10,10.96.251.13
telecamera4,10.96.251.14
telecamera6,10.96.251.15
telecamera7,10.96.251.16
remoto12,10.96.251.17
remoto14,10.96.251.18
telecamera11,10.96.251.19
telecamera14,10.96.251.20
telecamera16,10.96.251.21
remoto7,10.96.251.22
telecamera9,10.96.251.23
telecamera15,10.96.251.24
telecamera13,10.96.251.25
telecamera21,10.96.251.26
tracer1,10.96.251.27
tracer1,10.96.251.28
telecamera30,10.96.251.29
telecamera20,10.96.251.30
telecamera32,10.96.251.31
telecamera18,10.96.251.32
telecamera33,10.96.251.129
telecamera33,10.96.251.130
telecamera34,10.96.251.131
telecamera34,10.96.251.132
telecamera35,10.96.251.133
telecamera35,10.96.251.134
telecamera36,10.96.251.135
telecamera36,10.96.251.136
telecamera37,10.96.251.137
telecamera37,10.96.251.138
telecamera38,10.96.251.139
telecamera38,10.96.251.140
telecamera39,10.96.251.141
telecamera39,10.96.251.142
telecamera40,10.96.251.143
telecamera40,10.96.251.144
telecamera41,10.96.251.145
telecamera41,10.96.251.146
telecamera42,10.96.251.147
telecamera42,10.96.251.148
telecamera43,10.96.251.149
telecamera43,10.96.251.150
telecamera44,10.96.251.151
telecamera44,10.96.251.152
telecamera45,10.96.251.153
telecamera45,10.96.251.154
telecamera46,10.96.251.155
telecamera46,10.96.251.156
telecamera47,10.96.251.157
telecamera47,10.96.251.158
telecamera48,10.96.251.159
telecamera48,10.96.251.160
remoto33,10.96.251.161
remoto33,10.96.251.162
remoto34,10.96.251.163
remoto34,10.96.251.164
remoto35,10.96.251.165
remoto35,10.96.251.166
remoto36,10.96.251.167
remoto36,10.96.251.168
remoto37,10.96.251.169
remoto37,10.96.251.170
remoto38,10.96.251.171
remoto38,10.96.251.172
remoto39,10.96.251.173
remoto39,10.96.251.174
remoto40,10.96.251.175
remoto40,10.96.251.176
remoto41,10.96.251.177
remoto41,10.96.251.178
remoto42,10.96.251.179
remoto42,10.96.251.180
remoto43,10.96.251.181
remoto43,10.96.251.182
remoto44,10.96.251.183
remoto44,10.96.251.184
remoto45,10.96.251.185
remoto45,10.96.251.186
remoto46,10.96.251.187
remoto46,10.96.251.188
remoto47,10.96.251.189
remoto47,10.96.251.190
remoto48,10.96.251.191
remoto48,10.96.251.192
